Tahun,Kabupaten,Kecamatan,ChippingCount,Length,Volume,Larva
2024,Lampung Timur,Bandar Sribhawono,4683,8172,817.2,67827.6
2024,Lampung Timur,Bumi Agung,22,52,5.2,431.6
2024,Lampung Timur,Labuhan Ratu,6492,13399,1339.9,111211.7
2024,Lampung Timur,Marga Tiga,2588,5353,535.3,44429.9
2024,Lampung Timur,Mataram Baru,7853,14596,1459.6,121146.8
2024,Lampung Timur,Sekampung Udik,6440,11821,1182.1,98114.3
2024,Lampung Timur,Sukadana,6797,12260.41,1226.041,101761.403
2024,Lampung Timur,Way Jepara,7404,13777,1377.7,114349.1
2025,Lampung Selatan,Candipuro,1684,7419.11,741.911,61578.613
2025,Lampung Selatan,Kalianda,1079,4101.5,410.15,34042.45
2025,Lampung Selatan,Katibung,741,2915.7,291.57,24200.31
2025,Lampung Selatan,Sidomulyo,1605,7179.13,717.913,59586.779
2025,Lampung Timur,Bandar Sribhawono,359,1794,179.4,14890.2
2025,Lampung Timur,Bumi Agung,11,54.5,5.45,452.35
2025,Lampung Timur,Marga Tiga,194,706.7,70.67,5865.61
2025,Lampung Timur,Mataram Baru,1378,6290,629,52207
2025,Lampung Timur,Sekampung Udik,4401,16960.65,1696.065,140773.395
2025,Lampung Timur,Sukadana,5,11.25,1.125,93.375
