Batch,Periode,Rencana,Aktual,Selisih,Improve,Target,Remark
1,8-12 Des 2025,458.3333333,202.22,-456.50375,202.22,5500,Aktual
2,15-19 Des 2025,916.6666667,475.826,-841.6215,475.826,5500,Aktual
3,22-26 Des 2025,1375,871.508,-1104.66325,871.508,5500,Aktual
4,29 Des 2025 - 2 Jan 2026,1833.333333,1221.182,-1413.713,1221.182,5500,Aktual
5,5-9 Jan 2026,2291.666667,1780.415,-1513.20375,1780.415,5500,Aktual
6,12-16 Jan 2026,2750,2406.109,-1546.2335,2406.109,5500,Aktual
7,19-23 Jan 2026,3208.333333,3084.815,-1526.25125,3084.815,5500,Aktual
8,26-30 Jan 2026,3666.666667,3803.17,-1466.62,3803.17,5500,Aktual
9,2-6 Feb 2026,4125,4560.924,-1283.2925,4521.525,5500,Aktual
10,9-13 Feb 2026,4583.333333,5501.008,-1099.965,5501.008,5500,Proyeksi
11,16-20 Feb 2026,5041.666667,,-916.6375,,5500,Proyeksi
12,23-27 Feb 2026,5500,,-733.31,,5500,Proyeksi
