Tahun,Kecamatan,LuasDampak
2025,Bandar Sribhawono,1358.662658
2025,Bumi Agung,1099.920505
2025,Candipuro,3141.113758
2025,Kalianda,1864.666273
2025,Katibung,5624.113432
2025,Marga Tiga,3617.261011
2025,Mataram Baru,2968.91577
2025,Sekampung Udik,4739.351487
2025,Sidomulyo,6487.692656
2025,Sukadana,1032.108065
2024,Bumi Agung,956.770662
2024,Marga Tiga,3868.862074
2024,Bandar Sribhawono,4802.15532
2024,Mataram Baru,4878.735344
2024,Sekampung Udik,6109.969868
2024,Labuhan Ratu,6334.656396
2024,Way Jepara,10176.41855
2024,Sukadana,10199.14889
2030,TulangBawang,100
2030,TulangBawang,200
